"DATA","TRNT","U13650071","USD","0.96586","CASH","EUR.USD","EUR.USD","","2024-12-31;17:00:00","2024-12-31","IDEALFX","-0.00127397","1.03495021","0.0013185","0","EUR","","0","SELL","12087792","0"
"EOS","TRNT","24","23632.3644"
"BOS","CTRN","Cash Transactions"
"HEADER","CTRN","ClientAccountID","CurrencyPrimary","AssetClass","Symbol","Description","Date/Time","Amount","Type","Conid","ISIN","TransactionID"
"DATA","CTRN","U13650071","EUR","","","WITHHOLDING @ 20% ON CREDIT INT FOR NOV-2024","2024-12-04","-0.61","Withholding Tax","","","3380415572"
"DATA","CTRN","U13650071","USD","STK","IBKR","IBKR(US45841N1072) PAYMENT IN LIEU OF DIVIDEND - US TAX","2024-12-13;20:20:00","-0.06","Withholding Tax","43645865","US45841N1072","3418409403"
"DATA","CTRN","U13650071","USD","STK","IBKR","IBKR(US45841N1072) PAYMENT IN LIEU OF DIVIDEND (Ordinary Dividend)","2024-06-14;20:20:00","0.01","Payment In Lieu Of Dividends","43645865","US45841N1072","2813116173"
"DATA","CTRN","U13650071","USD","STK","IBKR","IBKR(US45841N1072) PAYMENT IN LIEU OF DIVIDEND (Ordinary Dividend)","2024-09-13;20:20:00","0.01","Payment In Lieu Of Dividends","43645865","US45841N1072","3076776445"
"DATA","CTRN","U13650071","USD","STK","IBKR","IBKR(US45841N1072) PAYMENT IN LIEU OF DIVIDEND (Ordinary Dividend)","2024-12-13;20:20:00","0.41","Payment In Lieu Of Dividends","43645865","US45841N1072","3418409402"
"DATA","CTRN","U13650071","EUR","","","CASH RECEIPTS / ELECTRONIC FUND TRANSFERS","2024-01-08","300","Deposits/Withdrawals","","","2396161304"
"DATA","CTRN","U13650071","EUR","","","EUR CREDIT INT FOR NOV-2024","2024-12-04","3.04","Broker Interest Received","","","3378152310"
"EOS","CTRN","7","302.8"
"EOA","U13650071"
"EOF"
